Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum,Primary_Sales_cumsum,Secondary_Sales_cumsum,AverageUSD_cum,Sales_USD,Number_of_Sales,Active_Market_Wallets,Primary_Sales
22-06-2017,0,0,0,0,,,,,,
23-06-2017,1020.3,19,8,0,19,53.7,1020.3,19,8,0
24-06-2017,2261.14,40,21,0,21,56.53,1240.84,21,13,0
25-06-2017,2778.69,53,28,0,13,52.43,517.55,13,7,0
26-06-2017,3203.32,67,34,0,14,47.81,424.63,14,6,0
27-06-2017,5296.23,100,44,0,33,52.96,2092.91,33,10,0
28-06-2017,6543.49,115,46,0,15,56.9,1247.26,15,2,0
29-06-2017,8729.21,153,49,0,38,57.05,2185.72,38,3,0
30-06-2017,10437.36,174,53,0,21,59.98,1708.15,21,4,0
01-07-2017,13578.16,184,55,0,10,73.79,3140.8,10,2,0
02-07-2017,16502.77,215,57,0,31,76.76,2924.61,31,2,0
03-07-2017,23752.56,266,59,0,51,89.3,7249.79,51,2,0
04-07-2017,37258.49,324,62,0,58,115,13505.93,58,3,0
05-07-2017,39098.78,342,62,0,18,114.32,1840.29,18,0,0
06-07-2017,46120.95,365,64,0,23,126.36,7022.17,23,2,0
07-07-2017,53203.46,402,65,0,37,132.35,7082.51,37,1,0
08-07-2017,56431.34,432,67,0,30,130.63,3227.88,30,2,0
09-07-2017,57400.45,444,70,0,12,129.28,969.11,12,3,0
10-07-2017,62310.5,461,74,0,17,135.16,4910.05,17,4,0
11-07-2017,68019.87,504,76,0,43,134.96,5709.37,43,2,0
12-07-2017,69798.6,521,81,0,17,133.97,1778.73,17,5,0
13-07-2017,75099.57,552,86,0,31,136.05,5300.97,31,5,0
14-07-2017,75547.97,559,87,0,7,135.15,448.4,7,1,0
15-07-2017,76097.66,564,88,0,5,134.92,549.69,5,1,0
16-07-2017,76416.85,567,90,0,3,134.77,319.19,3,2,0
17-07-2017,77869.05,572,91,0,5,136.13,1452.2,5,1,0
18-07-2017,80790.72,602,93,0,30,134.2,2921.67,30,2,0
19-07-2017,84227.47,633,93,0,31,133.06,3436.75,31,0,0
20-07-2017,86580.18,654,93,0,21,132.39,2352.71,21,0,0
21-07-2017,88715.19,675,95,0,21,131.43,2135.01,21,2,0
22-07-2017,89759.95,688,96,0,13,130.47,1044.76,13,1,0
23-07-2017,90181.65,694,97,0,6,129.94,421.7,6,1,0
24-07-2017,91308.47,709,99,0,15,128.78,1126.82,15,2,0
25-07-2017,93077.94,717,101,0,8,129.82,1769.47,8,2,0
26-07-2017,93392.45,722,102,0,5,129.35,314.51,5,1,0
27-07-2017,93504.21,724,103,0,2,129.15,111.76,2,1,0
28-07-2017,93878.21,729,104,0,5,128.78,374,5,1,0
29-07-2017,94885.01,737,105,0,8,128.74,1006.8,8,1,0
30-07-2017,96364,753,105,0,16,127.97,1478.99,16,0,0
31-07-2017,96577.45,755,106,0,2,127.92,213.45,2,1,0
01-08-2017,96686.45,757,106,0,2,127.72,109,2,0,0
02-08-2017,97212.19,758,106,0,1,128.25,525.74,1,0,0
03-08-2017,101812.09,779,109,0,21,130.7,4599.9,21,3,0
04-08-2017,101812.09,779,109,0,0,130.7,0,0,0,0
05-08-2017,103331.02,781,110,0,2,132.31,1518.93,2,1,0
06-08-2017,103331.02,781,110,0,0,132.31,0,0,0,0
07-08-2017,103407.54,782,110,0,1,132.23,76.52,1,0,0
08-08-2017,104405.14,787,112,0,5,132.66,997.6,5,2,0
09-08-2017,104672.5,790,112,0,3,132.5,267.36,3,0,0
10-08-2017,104853.54,792,112,0,2,132.39,181.04,2,0,0
11-08-2017,105512.91,800,114,0,8,131.89,659.37,8,2,0
12-08-2017,106551.43,817,116,0,17,130.42,1038.52,17,2,0
13-08-2017,107356.72,824,117,0,7,130.29,805.29,7,1,0
14-08-2017,107860.59,827,118,0,3,130.42,503.87,3,1,0
15-08-2017,108121.48,831,118,0,4,130.11,260.89,4,0,0
16-08-2017,108331.51,833,118,0,2,130.05,210.03,2,0,0
17-08-2017,108481.79,835,118,0,2,129.92,150.28,2,0,0
18-08-2017,108570.63,836,118,0,1,129.87,88.84,1,0,0
19-08-2017,108689.28,837,119,0,1,129.86,118.65,1,1,0
20-08-2017,108851.62,838,119,0,1,129.89,162.34,1,0,0
21-08-2017,109644.24,846,120,0,8,129.6,792.62,8,1,0
22-08-2017,109731.65,847,120,0,1,129.55,87.41,1,0,0
23-08-2017,109886.87,849,121,0,2,129.43,155.22,2,1,0
24-08-2017,109886.87,849,121,0,0,129.43,0,0,0,0
25-08-2017,110143.51,852,122,0,3,129.28,256.64,3,1,0
26-08-2017,110242.47,853,122,0,1,129.24,98.96,1,0,0
27-08-2017,110242.47,853,122,0,0,129.24,0,0,0,0
28-08-2017,111388.32,862,124,0,9,129.22,1145.85,9,2,0
29-08-2017,111480.02,863,124,0,1,129.18,91.7,1,0,0
30-08-2017,111654.32,865,125,0,2,129.08,174.3,2,1,0
31-08-2017,111757.71,866,125,0,1,129.05,103.39,1,0,0
01-09-2017,112263.82,871,125,0,5,128.89,506.11,5,0,0
02-09-2017,112333.1,874,126,0,3,128.53,69.28,3,1,0
03-09-2017,112333.1,874,126,0,0,128.53,0,0,0,0
04-09-2017,112647.8,877,128,0,3,128.45,314.7,3,2,0
05-09-2017,112647.8,877,128,0,0,128.45,0,0,0,0
06-09-2017,112647.8,877,128,0,0,128.45,0,0,0,0
07-09-2017,112647.8,877,128,0,0,128.45,0,0,0,0
08-09-2017,112723.92,878,129,0,1,128.39,76.12,1,1,0
09-09-2017,112723.92,878,129,0,0,128.39,0,0,0,0
10-09-2017,112925.94,881,129,0,3,128.18,202.02,3,0,0
11-09-2017,113065.28,883,129,0,2,128.05,139.34,2,0,0
12-09-2017,113146.65,885,129,0,2,127.85,81.37,2,0,0
13-09-2017,113146.65,885,129,0,0,127.85,0,0,0,0
14-09-2017,113146.65,885,129,0,0,127.85,0,0,0,0
15-09-2017,113146.65,885,129,0,0,127.85,0,0,0,0
16-09-2017,113217.64,886,129,0,1,127.79,70.99,1,0,0
17-09-2017,113351.36,888,130,0,2,127.65,133.72,2,1,0
18-09-2017,113414.71,889,131,0,1,127.58,63.35,1,1,0
19-09-2017,113793.31,893,132,0,4,127.43,378.6,4,1,0
20-09-2017,114166.06,896,132,0,3,127.42,372.75,3,0,0
21-09-2017,114374.6,900,134,0,4,127.08,208.54,4,2,0
22-09-2017,114445.74,901,134,0,1,127.02,71.14,1,0,0
23-09-2017,114689.31,905,135,0,4,126.73,243.57,4,1,0
24-09-2017,114745.45,906,135,0,1,126.65,56.14,1,0,0
25-09-2017,114745.45,906,135,0,0,126.65,0,0,0,0
26-09-2017,114745.45,906,135,0,0,126.65,0,0,0,0
27-09-2017,115168.46,910,136,0,4,126.56,423.01,4,1,0
28-09-2017,115204.66,911,137,0,1,126.46,36.2,1,1,0
29-09-2017,115519.01,918,137,0,7,125.84,314.35,7,0,0
30-09-2017,115679.53,928,137,0,10,124.65,160.52,10,0,0
01-10-2017,116129.05,929,138,0,1,125,449.52,1,1,0
02-10-2017,116129.05,929,138,0,0,125,0,0,0,0
03-10-2017,116129.05,929,138,0,0,125,0,0,0,0
04-10-2017,116187.65,930,138,0,1,124.93,58.6,1,0,0
05-10-2017,116187.65,930,138,0,0,124.93,0,0,0,0
06-10-2017,116187.65,930,138,0,0,124.93,0,0,0,0
07-10-2017,116187.65,930,138,0,0,124.93,0,0,0,0
08-10-2017,116280.69,931,138,0,1,124.9,93.04,1,0,0
09-10-2017,116307.32,932,138,0,1,124.79,26.63,1,0,0
10-10-2017,116307.32,932,138,0,0,124.79,0,0,0,0
11-10-2017,116374.04,933,138,0,1,124.73,66.72,1,0,0
12-10-2017,116413.3,934,138,0,1,124.64,39.26,1,0,0
13-10-2017,116768.15,938,140,0,4,124.49,354.85,4,2,0
14-10-2017,117023.01,942,140,0,4,124.23,254.86,4,0,0
15-10-2017,117200.76,945,140,0,3,124.02,177.75,3,0,0
16-10-2017,117380.03,947,140,0,2,123.95,179.27,2,0,0
17-10-2017,117380.03,947,140,0,0,123.95,0,0,0,0
18-10-2017,117380.03,947,140,0,0,123.95,0,0,0,0
19-10-2017,117407.79,948,140,0,1,123.85,27.76,1,0,0
20-10-2017,117504.54,949,141,0,1,123.82,96.75,1,1,0
21-10-2017,117582.72,950,141,0,1,123.77,78.18,1,0,0
22-10-2017,117582.72,950,141,0,0,123.77,0,0,0,0
23-10-2017,117582.72,950,141,0,0,123.77,0,0,0,0
24-10-2017,117582.72,950,141,0,0,123.77,0,0,0,0
25-10-2017,117627.5,951,141,0,1,123.69,44.78,1,0,0
26-10-2017,117896.42,958,141,0,7,123.07,268.92,7,0,0
27-10-2017,118075.17,964,141,0,6,122.48,178.75,6,0,0
28-10-2017,118253.05,970,141,0,6,121.91,177.88,6,0,0
29-10-2017,118274.31,971,141,0,1,121.81,21.26,1,0,0
